Device_Name,Region,Sales_Month,Units_Sold,Revenue_USD
StentX,Asia-Pacific,1/31/2022,502,587340
StentX,North America,2/28/2022,588,540960
StentX,North America,3/31/2022,614,606018
StentX,Asia-Pacific,4/30/2022,759,797709
StentX,Asia-Pacific,5/31/2022,708,819156
StentX,Latin America,6/30/2022,693,756063
StentX,North America,7/31/2022,560,515760
StentX,Europe,8/31/2022,744,705312
StentX,North America,9/30/2022,569,618503
StentX,Europe,10/31/2022,589,632586
StentX,Latin America,11/30/2022,763,727902
StentX,North America,12/31/2022,530,548020
StentX,Latin America,1/31/2023,566,663918
StentX,Asia-Pacific,2/28/2023,715,652795
StentX,North America,3/31/2023,664,632128
StentX,North America,4/30/2023,491,571033
StentX,North America,5/31/2023,605,592900
StentX,Europe,6/30/2023,759,683859
StentX,Europe,7/31/2023,453,455265
StentX,Europe,8/31/2023,590,659030
StentX,Asia-Pacific,9/30/2023,601,702569
StentX,Europe,10/31/2023,670,746380
StentX,Asia-Pacific,11/30/2023,589,703855
StentX,Europe,12/31/2023,636,605472
StentX,Europe,1/31/2024,616,709016
StentX,Asia-Pacific,2/29/2024,440,464640
StentX,Asia-Pacific,3/31/2024,464,421312
StentX,Asia-Pacific,4/30/2024,535,514670
StentX,Asia-Pacific,5/31/2024,480,509760
StentX,Latin America,6/30/2024,778,902480
StentX,Asia-Pacific,7/31/2024,440,407880
StentX,North America,8/31/2024,727,848409
StentX,North America,9/30/2024,447,429567
StentX,Europe,10/31/2024,498,533358
StentX,North America,11/30/2024,434,488684
StentX,Asia-Pacific,12/31/2024,530,612680
PacemakerY,North America,1/31/2022,291,1708170
PacemakerY,North America,2/28/2022,164,1128484
PacemakerY,Europe,3/31/2022,212,1242956
PacemakerY,Europe,4/30/2022,201,1210020
PacemakerY,North America,5/31/2022,292,1617680
PacemakerY,Asia-Pacific,6/30/2022,220,1478840
PacemakerY,Europe,7/31/2022,177,1349625
PacemakerY,Europe,8/31/2022,211,1623223
PacemakerY,Asia-Pacific,9/30/2022,257,1635291
PacemakerY,Asia-Pacific,10/31/2022,224,1492512
PacemakerY,North America,11/30/2022,241,1565536
PacemakerY,Europe,12/31/2022,278,1779200
PacemakerY,North America,1/31/2023,270,2072250
PacemakerY,Europe,2/28/2023,152,867768
PacemakerY,North America,3/31/2023,286,1520662
PacemakerY,North America,4/30/2023,200,1251400
PacemakerY,Europe,5/31/2023,208,1379248
PacemakerY,Latin America,6/30/2023,262,1795486
PacemakerY,North America,7/31/2023,201,1264491
PacemakerY,North America,8/31/2023,279,1851444
PacemakerY,Europe,9/30/2023,230,1310540
PacemakerY,North America,10/31/2023,279,2027493
PacemakerY,North America,11/30/2023,278,1851758
PacemakerY,North America,12/31/2023,217,1128834
PacemakerY,Asia-Pacific,1/31/2024,294,1695204
PacemakerY,Latin America,2/29/2024,218,1728958
PacemakerY,Asia-Pacific,3/31/2024,288,2246112
PacemakerY,North America,4/30/2024,273,1415778
PacemakerY,Europe,5/31/2024,242,1644148
PacemakerY,Europe,6/30/2024,296,1885224
PacemakerY,North America,7/31/2024,296,2341656
PacemakerY,Latin America,8/31/2024,277,2104646
PacemakerY,North America,9/30/2024,278,1890956
PacemakerY,North America,10/31/2024,191,1267094
PacemakerY,Latin America,11/30/2024,293,2166149
PacemakerY,North America,12/31/2024,209,1228920
OrthoKnee,Asia-Pacific,1/31/2022,297,669141
OrthoKnee,Europe,2/28/2022,286,617474
OrthoKnee,North America,3/31/2022,258,575856
OrthoKnee,Asia-Pacific,4/30/2022,297,655479
OrthoKnee,Asia-Pacific,5/31/2022,401,823253
OrthoKnee,North America,6/30/2022,401,1053427
OrthoKnee,Asia-Pacific,7/31/2022,449,1086131
